SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,SFR,BulgeMass,EffectiveRadius,VelocityDispersion,Metallicity
0,91,1,3.54708E+12,-25.4919,-26.2513,-26.6115,-26.8779,0.7594,1.1196,0.312441174,4.65E+12,46.7466,491.039,0.0388186
2,91,1,1.38711E+11,-22.0159,-22.7572,-23.1074,-23.3664,0.7413,1.0915,0,18932500000,9.7398,149.398,0.0317868
3,91,0,77875405964,-20.9062,-21.6901,-22.0618,-22.3352,0.7839,1.1556,0,29879400000,5.6693,141.657,0.0391144
4,91,0,79692205492,-20.8542,-21.6411,-22.0137,-22.289,0.7869,1.1595,0,31880100000,5.784,156.989,0.0361035
5,91,0,87458370239,-20.8056,-21.611,-21.9936,-22.2782,0.8054,1.188,0,37381700000,5.0247,172.947,0.0384628
7,91,0,51332890464,-20.4928,-21.266,-21.6328,-21.9003,0.7732,1.14,0,17170600000,5.7017,130.196,0.0340967
8,91,0,41732359020,-20.6684,-21.4365,-21.8003,-22.0673,0.7681,1.1319,0,9917310000,6.067,110.21,0.0316427
9,91,0,46607617360,-20.9522,-21.6608,-21.9979,-22.2485,0.7086,1.0457,0.104733697,2714830000,6.991,108.406,0.0290588
10,91,0,36874963094,-20.2245,-20.9928,-21.3567,-21.6207,0.7683,1.1322,0,19992000000,3.9942,116.378,0.0389393
11,91,0,17839828757,-20.5102,-21.1399,-21.4555,-21.6898,0.6297,0.9453,0.629978119,838629000,5.0093,91.2697,0.0295342
12,91,0,23482432831,-21.6575,-21.9644,-22.1593,-22.3227,0.3069,0.5018,5.861469041,1310720000,7.4626,94.9826,0.0218696
15,91,0,19475937408,-20.155,-20.7818,-21.0816,-21.306,0.6268,0.9266,0.153641505,6300030000,3.2061,88.2845,0.031818
17,91,0,19639651609,-19.8026,-20.5566,-20.9133,-21.1715,0.754,1.1107,0,9069240000,3.6603,96.1284,0.0318627
18,91,0,13377782699,-19.9286,-20.5223,-20.8232,-21.0493,0.5937,0.8946,0.432926461,936280000,4.019,80.4755,0.0293491
19,91,0,25613965161,-19.9482,-20.7159,-21.079,-21.3448,0.7677,1.1308,0,12243400000,3.1803,105.934,0.0372951
20,91,0,25294065545,-19.6079,-20.4084,-20.7894,-21.0726,0.8005,1.1815,0,11816100000,3.1408,124.654,0.0336082
21,91,0,10086610570,-20.3755,-20.8271,-21.0853,-21.2882,0.4516,0.7098,1.431718317,696334000,4.1342,78.1269,0.0228801
22,91,0,33273988781,-19.6943,-20.5142,-20.9058,-21.2013,0.8199,1.2115,0,17174800000,2.6918,140.759,0.0432604
23,91,0,19222911131,-18.9195,-19.7477,-20.1456,-20.4427,0.8282,1.2261,0,13629400000,1.3601,109.724,0.0333457
24,91,0,8895143195,-19.209,-19.9492,-20.2996,-20.5497,0.7402,1.0906,0.002854064,587225000,3.0839,80.6253,0.0269359
25,91,0,10194892235,-19.1696,-19.9108,-20.2626,-20.5125,0.7412,1.093,0.007566037,1441260000,2.7171,79.0598,0.0295471
26,91,0,21307499262,-19.2246,-20.0317,-20.4176,-20.7042,0.8071,1.193,0,9276470000,1.8728,128.461,0.0333659
29,91,0,7225095955,-18.9986,-19.7353,-20.0827,-20.3292,0.7367,1.0841,0,715230000,2.7686,71.8159,0.0286284
30,91,0,9897180396,-19.1627,-19.9044,-20.2538,-20.5033,0.7417,1.0911,0,577992000,3.0658,79.1288,0.0288429
31,91,0,3356377325,-19.7517,-20.071,-20.2599,-20.4084,0.3193,0.5082,0.963742604,720605000,2.3444,51.6573,0.0210236
32,91,0,11352701506,-19.0401,-19.8,-20.1601,-20.4179,0.7599,1.12,0,7578130000,1.997,78.6691,0.0335792
33,91,0,13169914379,-19.0895,-19.8657,-20.2341,-20.5015,0.7762,1.1446,0,1866450000,2.7828,86.1118,0.0333331
34,91,0,9563241807,-19.2976,-20.017,-20.3583,-20.6043,0.7194,1.0607,0.024550351,1032870000,2.987,74.2676,0.031474
35,91,0,7080868025,-19.1358,-19.8057,-20.1208,-20.347,0.6699,0.985,0.005875527,766777000,2.4148,73.5975,0.0259877
36,91,0,9609108355,-18.8839,-19.6438,-20.0046,-20.2654,0.7599,1.1207,0,2305440000,2.344,77.6528,0.0298253
37,91,0,3110702687,-19.7,-19.9916,-20.1784,-20.3278,0.2916,0.4784,1.042734849,479292000,2.3375,68.1861,0.0196035
38,91,0,9403926779,-18.8897,-19.655,-20.0172,-20.2788,0.7653,1.1275,0,1267770000,2.6486,79.6861,0.0323445
39,91,0,16664304694,-18.8328,-19.6559,-20.0465,-20.341,0.8231,1.2137,0,11683900000,1.5884,115.135,0.0406657
40,91,0,986344847.9,-18.8683,-19.1352,-19.3021,-19.4323,0.2669,0.4338,0.541151617,109247000,1.4381,51.9631,0.0148849
41,91,0,11357469737,-18.9354,-19.7103,-20.0768,-20.3448,0.7749,1.1414,0,1548600000,2.388,81.4929,0.0372187
43,91,0,11057897845,-18.6977,-19.4884,-19.8645,-20.1385,0.7907,1.1668,0,1364340000,2.1962,88.4874,0.0315985
44,91,0,13134278122,-18.8768,-19.6728,-20.0498,-20.3304,0.796,1.173,0,5236500000,2.0167,95.8462,0.0435539
45,91,0,9521863006,-18.9456,-19.699,-20.0553,-20.3126,0.7534,1.1097,0,1734280000,2.4034,72.5875,0.0325107
46,91,0,13464511367,-18.7133,-19.5201,-19.9032,-20.1886,0.8068,1.1899,0,9435660000,1.5267,106.182,0.0388951
47,91,0,2932816652,-18.0032,-18.722,-19.0603,-19.2934,0.7188,1.0571,0,1185960000,1.6526,57.8026,0.0241055
48,91,0,4449084736,-18.5732,-19.2755,-19.6023,-19.8313,0.7023,1.0291,0.001507283,513694000,2.1761,57.6502,0.0253576
50,91,0,2809994095,-18.3743,-19.0918,-19.4281,-19.6599,0.7175,1.0538,0,170454000,2.0897,53.1972,0.0217541
51,91,0,9382137585,-18.5401,-19.3415,-19.7226,-20.0059,0.8014,1.1825,0,3584840000,2.2472,80.5589,0.0437342
52,91,0,9671434898,-18.3727,-19.1872,-19.5749,-19.8638,0.8145,1.2022,0,1191680000,2.0421,85.7129,0.0409352
53,91,0,9389444937,-18.6355,-19.4303,-19.8077,-20.0884,0.7948,1.1722,0,1488650000,2.0398,77.6436,0.0419197
54,91,0,6775701211,-18.4291,-19.195,-19.5574,-19.8178,0.7659,1.1283,0,2891760000,2.1393,70.7493,0.0315189
55,91,0,4604458223,-18.2015,-18.9419,-19.2923,-19.5352,0.7404,1.0908,0,541125000,1.7476,65.8428,0.0247738
56,91,0,4325465013,-18.5972,-19.3241,-19.6661,-19.9074,0.7269,1.0689,0,529901000,2.1091,59.5652,0.0269049
57,91,0,1181945675,-18.5144,-18.9126,-19.1315,-19.295,0.3982,0.6171,0.206650321,300763000,1.2848,51.1429,0.0180121
58,91,0,1978506053,-18.2418,-18.8758,-19.1708,-19.3784,0.634,0.929,0,271992000,1.69,53.4698,0.0190983
59,91,0,5367729554,-18.2327,-18.9911,-19.3501,-19.6043,0.7584,1.1174,0,2373020000,1.8957,65.625,0.0276657
60,91,0,1071228226,-17.7257,-18.2413,-18.4978,-18.6816,0.5156,0.7721,0.051298672,366447000,1.1364,47.3288,0.0201754
61,91,0,786772955.4,-18.1031,-18.6834,-18.9472,-19.1252,0.5803,0.8441,0.011032763,142189000,1.1896,44.4859,0.0166272
62,91,0,8376926484,-18.3035,-19.1099,-19.4929,-19.7794,0.8064,1.1894,0,1627760000,1.8445,81.6389,0.0474693
63,91,0,5277015058,-18.5298,-19.2653,-19.6113,-19.8572,0.7355,1.0815,0,788489000,2.2031,56.2087,0.0289189
64,91,0,1732270446,-18.2139,-18.6947,-18.9555,-19.1462,0.4808,0.7416,0.156376838,1121330000,1.4766,57.2841,0.021256
65,91,0,929568940.1,-17.7195,-18.4074,-18.727,-18.9378,0.6879,1.0075,0.000587795,254822000,0.9401,47.2632,0.0168196
66,91,0,6596944198,-18.2193,-19.0099,-19.3861,-19.6626,0.7906,1.1668,0,1290920000,1.8473,72.785,0.0355617
67,91,1,231148509,-17.2497,-17.5875,-17.7803,-17.919,0.3378,0.5306,0.094816953,127904000,0.6913,41.6267,0.0129892
69,91,0,467936226.7,-17.7589,-18.3344,-18.5906,-18.757,0.5755,0.8317,0,131964000,0.9833,41.5554,0.014187
70,91,0,3932388544,-17.9597,-18.7212,-19.0816,-19.3377,0.7615,1.1219,0,455051000,1.7336,59.8721,0.0268072
71,91,0,5479096546,-18.059,-18.8433,-19.2165,-19.4879,0.7843,1.1575,0,990010000,1.9274,66.139,0.0317227
72,91,0,314053734.9,-17.7535,-18.3337,-18.5912,-18.7533,0.5802,0.8377,0,306003000,0.8498,41.2904,0.00962701
73,91,0,387791555.9,-17.2117,-17.6722,-17.9133,-18.0808,0.4605,0.7016,0.069346229,311100000,0.6233,41.437,0.0161689
74,91,0,1549173310,-17.7952,-18.4981,-18.8265,-19.0502,0.7029,1.0313,0,227937000,1.3508,52.5489,0.0204213
75,91,0,4278535577,-17.9165,-18.6942,-19.0626,-19.3286,0.7777,1.1461,0,682465000,1.8431,62.5749,0.0272365
76,91,0,4541054030,-17.9723,-18.7669,-19.1445,-19.4231,0.7946,1.1722,0,777918000,1.6829,55.5374,0.0397848
77,91,0,7959152642,-18.9664,-19.7037,-20.0498,-20.318,0.7373,1.0834,0,,0.7677,79.0926,0.0667946
78,91,0,3912105108,-17.7515,-18.5172,-18.8815,-19.139,0.7657,1.13,0,645602000,1.3081,63.6175,0.0264796
80,91,0,528033658.1,-18.0947,-18.3197,-18.4614,-18.5735,0.225,0.3667,0.259919208,400675000,0.475,40.6582,0.0201906
81,91,0,1925524063,-18.5167,-19.1702,-19.4642,-19.6635,0.6535,0.9475,0,258249000,1.5314,40.2629,0.019671
82,91,0,1207720697,-17.291,-18.0081,-18.3458,-18.5762,0.7171,1.0548,0,271279000,1.1257,44.9385,0.0201162
83,91,0,873280189,-18.2312,-18.5225,-18.7039,-18.8425,0.2913,0.4727,0.156880213,735481000,0.5962,39.3372,0.0219646
84,91,0,421375848.8,-16.9384,-17.6117,-17.9209,-18.1283,0.6733,0.9825,0,201554000,0.7851,38.8864,0.0168265
85,91,0,1667877177,-17.7635,-18.5088,-18.8612,-19.1064,0.7453,1.0977,0,140633000,1.5307,46.7805,0.0217774
86,91,0,654059639.8,-16.72,-17.3599,-17.6615,-17.8694,0.6399,0.9415,0.00155493,362721000,0.7641,42.3965,0.0188301
89,91,0,171464422.8,-16.6585,-17.2242,-17.4806,-17.6432,0.5657,0.8221,0,65982400,0.6461,41.0197,0.0120107
90,91,0,3871597284,-17.8098,-18.5889,-18.9585,-19.2312,0.7791,1.1487,0,554425000,1.5781,58.8425,0.0393736
91,91,0,749601417.2,-18.2783,-18.6627,-18.8635,-19.0079,0.3844,0.5852,0.172202423,194026000,1.1905,45.2309,0.0162554
92,91,0,2739415412,-17.7742,-18.5197,-18.8723,-19.1232,0.7455,1.0981,0,403733000,1.6037,51.1884,0.026175
93,91,0,297032772.4,-16.2395,-16.9354,-17.2612,-17.4764,0.6959,1.0217,0,85701900,0.6538,38.7191,0.0150421
94,91,0,866991437.9,-16.8287,-17.5503,-17.8903,-18.1209,0.7216,1.0616,0,114700000,0.9901,43.4532,0.0176983
95,91,1,193681724.2,-16.9395,-17.3316,-17.543,-17.693,0.3921,0.6035,0.059542338,138158000,0.6695,41.0089,0.0130415
96,91,0,4309093593,-17.5035,-18.3217,-18.7104,-19.0022,0.8182,1.2069,0,1141730000,1.2394,66.2991,0.0468511
97,91,0,277605550.6,-16.7092,-17.3305,-17.6064,-17.783,0.6213,0.8972,0,252977000,0.4166,35.5753,0.0156072
98,91,0,501003838.2,-16.8529,-17.5579,-17.8897,-18.1086,0.705,1.0368,0,262606000,0.7533,43.291,0.0172263
99,91,0,1570460585,-17.1159,-17.856,-18.2062,-18.448,0.7401,1.0903,0,209859000,1.1997,52.0711,0.0208717
100,91,0,1580425155,-17.4744,-18.234,-18.5935,-18.8499,0.7596,1.1191,0,372330000,1.3171,47.581,0.0264728
102,91,0,1518777679,-17.3319,-18.0466,-18.3825,-18.6138,0.7147,1.0506,0,542607000,1.174,46.6802,0.0224408
103,91,0,5416238559,-18.3478,-19.1031,-19.4599,-19.7335,0.7553,1.1121,0,,0.6859,67.6959,0.0623541
104,91,1,157071154.4,-15.9248,-16.5578,-16.8435,-17.0235,0.633,0.9187,0,,0.539,35.2794,0.01106
105,91,1,206864481.8,-17.225,-17.5867,-17.763,-17.8868,0.3617,0.538,0.026704741,,0.7056,38.7377,0.012334
106,91,0,1992722173,-17.4056,-18.1513,-18.5042,-18.7497,0.7457,1.0986,0,297862000,1.2293,43.426,0.0254188
107,91,0,5726335991,-18.7425,-19.4634,-19.8006,-20.0625,0.7209,1.0581,0,,0.903,68.5561,0.0784516
108,91,0,502937703,-16.7959,-17.4982,-17.8275,-18.0446,0.7023,1.0316,0,128847000,0.8183,39.8412,0.0155876
109,91,0,3847962799,-17.4519,-18.2687,-18.6564,-18.949,0.8168,1.2045,0,1987450000,1.2107,57.909,0.0464138
110,91,0,5502480071,-18.7833,-19.4846,-19.8118,-20.0667,0.7013,1.0285,0,,0.589,59.9084,0.0745478
111,91,0,251609093.6,-16.2976,-16.9736,-17.2867,-17.4897,0.676,0.9891,0,488147000,0.6205,42.8015,0.0153275
112,91,0,247667552.4,-16.247,-16.9209,-17.2325,-17.4308,0.6739,0.9855,0,170005000,0.5505,37.3657,0.01339
114,91,0,4617921464,-18.1035,-18.8601,-19.216,-19.4866,0.7566,1.1125,0,,0.7746,61.0559,0.0630894
115,91,0,1855284913,-17.2245,-17.9756,-18.3314,-18.5786,0.7511,1.1069,0,328546000,1.1914,49.2296,0.0242698
116,91,0,310909359.3,-16.2676,-16.867,-17.1532,-17.3498,0.5994,0.8856,0.01121649,267915000,0.6146,38.3577,0.0182196
117,91,0,756938293.5,-17.1379,-17.8114,-18.1195,-18.3237,0.6735,0.9816,0,441135000,0.6698,33.7695,0.0181974
121,91,0,286551520.5,-16.4708,-17.1605,-17.4829,-17.6893,0.6897,1.0121,0,358295000,0.6449,41.8564,0.0147781
122,91,0,527856510.2,-16.7752,-17.4869,-17.822,-18.0452,0.7117,1.0468,0,518103000,0.7963,38.3986,0.0185249
124,91,0,4334706230,-18.2127,-18.9585,-19.3088,-19.5783,0.7458,1.0961,0,,0.8265,59.7709,0.0648832
126,91,0,876306465.9,-17.0564,-17.769,-18.104,-18.3304,0.7126,1.0476,0,143103000,1.0274,41.6642,0.0177031
127,91,0,239193977,-16.4217,-17.1056,-17.4247,-17.629,0.6839,1.003,0,156851000,0.6237,33.1086,0.0134281
128,91,0,3968999114,-17.6428,-18.4311,-18.8039,-19.0863,0.7883,1.1611,0,,0.7162,59.8385,0.0606957
129,91,0,2961795099,-17.0677,-17.8865,-18.2757,-18.5674,0.8188,1.208,0,502273000,1.148,57.8902,0.0419288
130,91,0,3991806909,-17.9166,-18.6754,-19.0329,-19.3055,0.7588,1.1163,0,,0.6255,56.9916,0.0629293
131,91,0,1611455565,-17.2182,-17.9717,-18.3284,-18.5829,0.7535,1.1102,0,414393000,1.1232,49.6266,0.0283783
132,91,0,3890670210,-17.9508,-18.7084,-19.0662,-19.3398,0.7576,1.1154,0,,0.726,54.4525,0.0655468
135,91,0,3865234721,-18.136,-18.8857,-19.2387,-19.5126,0.7497,1.1027,0,,0.5785,52.3047,0.0646991
136,91,0,725155004.4,-16.6301,-17.3581,-17.702,-17.9333,0.728,1.0719,0,248012000,0.897,44.2005,0.0173544
139,91,0,1096309418,-16.8119,-17.5734,-17.9342,-18.1889,0.7615,1.1223,0,1187040000,1.0732,43.643,0.0250855
141,91,0,233318571,-16.1622,-16.8401,-17.1547,-17.3544,0.6779,0.9925,0,251968000,0.5297,31.2867,0.0131449
143,91,0,3602539120,-18.044,-18.7889,-19.1382,-19.4076,0.7449,1.0942,0,,0.6086,51.7438,0.0626957
145,91,0,667891939.8,-17.1386,-17.8433,-18.1717,-18.3951,0.7047,1.0331,0,186019000,0.8208,33.4537,0.0178791
146,91,0,1436315323,-16.849,-17.6039,-17.9616,-18.2119,0.7549,1.1126,0,677522000,0.9015,43.099,0.0256676
147,91,0,3059935046,-17.4278,-18.2087,-18.5783,-18.8561,0.7809,1.1505,0,1809500000,0.6924,56.8069,0.0506078
149,91,0,1415500443,-16.9809,-17.7299,-18.0844,-18.3325,0.749,1.1035,0,394419000,1.0713,42.3793,0.0239743
150,91,0,455919692.9,-17.0736,-17.7617,-18.0807,-18.2937,0.6881,1.0071,0,103114000,0.8467,32.7274,0.015262
151,91,0,3356598760,-18.0049,-18.752,-19.1029,-19.3748,0.7471,1.098,0,,0.6417,48.9097,0.0654621
152,91,0,130779450.8,-16.0043,-16.6812,-16.9947,-17.1942,0.6769,0.9904,0,127786000,0.3867,37.0864,0.0120603
154,91,0,249867139.1,-16.6218,-17.2842,-17.5858,-17.7795,0.6624,0.964,0,147764000,0.6638,31.1507,0.0130243
155,91,0,3369117213,-18.1495,-18.8774,-19.2177,-19.4827,0.7279,1.0682,0,,0.5216,44.8097,0.0693625
156,91,0,3291998819,-18.2461,-18.945,-19.2706,-19.5249,0.6989,1.0245,0,,0.512,44.3822,0.0772111
157,91,0,631414230.9,-16.8546,-17.5371,-17.8518,-18.0631,0.6825,0.9972,0,214006000,0.8019,38.0575,0.0182762
158,91,0,343711248.9,-16.6023,-17.3209,-17.6592,-17.8863,0.7186,1.0569,0,163513000,0.6551,36.079,0.017452
159,91,0,336758193.1,-16.6368,-17.343,-17.6746,-17.8967,0.7062,1.0378,0,219069000,0.7018,35.4337,0.0174063
160,91,0,2845527015,-16.9564,-17.7799,-18.1689,-18.4655,0.8235,1.2125,0,,0.5425,49.8716,0.0550884
165,91,0,2845335105,-17.6246,-18.3826,-18.741,-19.0153,0.758,1.1164,0,,0.5628,45.6161,0.0636526
166,91,1,79864186.6,-15.7348,-16.3817,-16.6765,-16.8591,0.6469,0.9417,0,,0.4214,39.4408,0.00981297
167,91,0,724594036,-17.8471,-18.2784,-18.4874,-18.6383,0.4313,0.6403,0.048086443,658647000,0.4721,36.683,0.0241339
168,91,0,1003808680,-16.7716,-17.5401,-17.9041,-18.1666,0.7685,1.1325,0,175941000,1.0639,39.2013,0.0259496
169,91,0,382757602.6,-17.5313,-17.855,-18.0262,-18.1541,0.3237,0.4949,0.078834116,246264000,0.7687,36.1802,0.0169263
170,91,0,214644227.9,-15.8381,-16.524,-16.8431,-17.0525,0.6859,1.005,0,143971000,0.4903,28.7248,0.015954
172,91,0,1768526720,-16.7395,-17.5373,-17.9178,-18.1976,0.7978,1.1783,0,594832000,0.9927,47.7752,0.0350467
173,91,0,771139651.6,-16.7258,-17.4655,-17.8154,-18.0575,0.7397,1.0896,0,162578000,0.8923,32.0865,0.0208235
174,91,0,2796324181,-17.7479,-18.4956,-18.8465,-19.1169,0.7477,1.0986,0,,0.6437,46.1431,0.0637664
175,91,0,200472394.4,-16.3627,-17.0194,-17.319,-17.5077,0.6567,0.9563,0,211219000,0.421,32.1931,0.0125459
176,91,0,282536167.7,-16.4174,-17.098,-17.4129,-17.6186,0.6806,0.9955,0,85059000,0.6619,32.9177,0.0148301
177,91,0,349202834.4,-16.1548,-16.8846,-17.2298,-17.4622,0.7298,1.075,0,186275000,0.6837,39.395,0.0165046
178,91,0,406451136.7,-16.1538,-16.8747,-17.215,-17.4422,0.7209,1.0612,0,225796000,0.731,38.9138,0.0155116
180,91,0,2633451432,-17.5463,-18.298,-18.6513,-18.9215,0.7517,1.105,0,,0.5244,43.6215,0.0608401
182,91,0,2533466194,-16.815,-17.6495,-18.0442,-18.348,0.8345,1.2292,0,,0.5357,45.9875,0.0616012
183,91,0,627826985.5,-16.3994,-17.126,-17.4693,-17.7005,0.7266,1.0699,0,238029000,0.8089,37.8084,0.0187315
186,91,0,188263950.4,-15.9515,-16.6267,-16.94,-17.138,0.6752,0.9885,0,261457000,0.4231,29.3316,0.013894
187,91,0,2532019486,-17.5053,-18.2766,-18.6458,-18.9297,0.7713,1.1405,0,,0.4722,37.4157,0.0742633
188,91,0,2287097727,-17.0613,-17.8493,-18.2216,-18.5035,0.788,1.1603,0,,0.5845,44.7148,0.0569816
189,91,0,176276941.2,-16.0938,-16.8018,-17.1346,-17.3537,0.708,1.0408,0,111998000,0.5171,42.1141,0.0136018
190,91,0,151180986.1,-15.9727,-16.6498,-16.9643,-17.1633,0.6771,0.9916,0,122128000,0.4311,35.5065,0.0118162
191,91,0,2321006791,-16.9026,-17.7097,-18.091,-18.3823,0.8071,1.1884,0,,0.5845,47.0625,0.0577187
192,91,0,1124047830,-16.7514,-17.5059,-17.8637,-18.1189,0.7545,1.1123,0,287951000,0.9827,40.4122,0.0263296
195,91,0,2418098612,-17.5509,-18.3004,-18.653,-18.9237,0.7495,1.1021,0,,0.5774,41.5302,0.0646617
197,91,0,238219663.4,-16.0779,-16.7528,-17.0641,-17.2652,0.6749,0.9862,0,159318000,0.5169,35.1472,0.0154848
198,91,0,2289695896,-16.7007,-17.534,-17.928,-18.2311,0.8333,1.2273,0,,0.4963,41.901,0.060793
199,91,0,867522881.6,-16.5031,-17.2499,-17.6031,-17.8476,0.7468,1.1,0,102176000,0.89,40.728,0.0167809
200,91,0,663802775.3,-16.6444,-17.3641,-17.7024,-17.933,0.7197,1.058,0,215492000,0.8494,35.5985,0.0183504
201,91,0,1330543254,-16.5205,-17.3108,-17.6857,-17.9601,0.7903,1.1652,0,216199000,0.9656,43.3921,0.031751
208,91,0,291083554.8,-15.9494,-16.6488,-16.9769,-17.1907,0.6994,1.0275,0,430109000,0.6166,34.6759,0.0149479
210,91,0,724948331.9,-16.3508,-17.0802,-17.4254,-17.6586,0.7294,1.0746,0,611591000,0.7642,38.5847,0.0185676
218,91,0,708207853.6,-16.649,-17.3852,-17.7329,-17.9755,0.7362,1.0839,0,255691000,0.8638,31.8296,0.0203572
220,91,0,729657514,-16.3547,-17.1031,-17.4579,-17.7028,0.7484,1.1032,0,289985000,0.7735,39.6503,0.0212511
221,91,0,2086064364,-17.2095,-17.9659,-18.3218,-18.592,0.7564,1.1123,0,,0.5238,39.2342,0.0579815
222,91,0,778520814.9,-16.4906,-17.2358,-17.5885,-17.8337,0.7452,1.0979,0,240976000,0.8324,37.1904,0.0220828
223,91,0,46102745.79,-15.9388,-16.6175,-16.9335,-17.1328,0.6787,0.9947,0,305858000,0.3485,24.1168,0.0111343
224,91,0,2024977857,-17.4271,-18.1801,-18.5349,-18.8101,0.753,1.1078,0,,0.5511,37.1486,0.0689506
228,91,0,1561883673,-16.3971,-17.2124,-17.5994,-17.8893,0.8153,1.2023,0,326712000,0.7677,41.6055,0.0351273
229,91,0,1898125185,-16.8191,-17.6104,-17.9841,-18.2676,0.7913,1.165,0,,0.5082,40.3603,0.0599043
230,91,0,183318571,-15.777,-16.47,-16.7945,-17.0024,0.693,1.0175,0,307761000,0.4969,33.4203,0.0132544
234,91,0,720977266,-16.5836,-17.3426,-17.7021,-17.9617,0.759,1.1185,0,288788000,0.7954,30.7245,0.0281271
237,91,0,1769028639,-17.0511,-17.8158,-18.1782,-18.4548,0.7647,1.1271,0,,0.5512,36.5821,0.0645242
238,91,0,375051668.1,-15.9939,-16.7233,-17.0682,-17.2998,0.7294,1.0743,0,610107000,0.6888,34.0384,0.0162598
240,91,0,72601121.94,-16.0425,-16.7074,-17.0124,-17.2058,0.6649,0.9699,0,38520700,0.4431,28.2604,0.0111741
242,91,0,636182462.4,-16.3038,-17.0498,-17.403,-17.6492,0.746,1.0992,0,287295000,0.7916,36.5851,0.0221963
245,91,0,884942426.9,-16.2042,-16.9879,-17.3594,-17.6288,0.7837,1.1552,0,207421000,0.8502,39.0877,0.0299019
246,91,0,1018364334,-16.3499,-17.1241,-17.4925,-17.7584,0.7742,1.1426,0,135770000,0.896,40.9501,0.0279083
249,91,0,1984322409,-17.6863,-18.386,-18.7122,-18.9675,0.6997,1.0259,0,,0.4945,35.1322,0.0770938
251,91,0,203498671.4,-15.9399,-16.6327,-16.9552,-17.166,0.6928,1.0153,0,148949000,0.4765,30.4749,0.0145278
253,91,0,563758488.3,-16.1792,-16.9456,-17.3084,-17.5675,0.7664,1.1292,0,251913000,0.7623,31.1787,0.0255095
255,91,0,707174490.7,-16.1329,-16.9039,-17.27,-17.5303,0.771,1.1371,0,330756000,0.7708,34.5831,0.0238567
256,91,0,325509300.3,-16.2127,-16.9439,-17.2886,-17.5266,0.7312,1.0759,0,116721000,0.6558,28.3678,0.0189957
257,91,0,398641866,-15.8624,-16.5909,-16.9355,-17.1671,0.7285,1.0731,0,230799000,0.6262,36.5468,0.0176938
258,91,0,1613920874,-16.994,-17.7586,-18.122,-18.4011,0.7646,1.128,0,,0.4209,33.5885,0.0730224
259,91,0,1535857691,-16.8544,-17.6179,-17.9786,-18.2532,0.7635,1.1242,0,,0.4502,32.0239,0.0602589
261,91,0,1431620903,-16.796,-17.5632,-17.9252,-18.2004,0.7672,1.1292,0,,0.5917,34.5575,0.0637976
263,91,0,1555890168,-17.0912,-17.8424,-18.1959,-18.4678,0.7512,1.1047,0,,0.51,33.9095,0.0650471
265,91,0,1424298789,-16.5563,-17.3434,-17.7154,-17.9966,0.7871,1.1591,0,,0.5253,35.1587,0.0601933
270,91,0,1350856215,-16.2569,-17.0656,-17.4482,-17.7365,0.8087,1.1913,0,,0.5474,36.4197,0.0461663
271,91,0,1480248007,-16.7955,-17.5603,-17.9216,-18.1967,0.7648,1.1261,0,,0.4879,32.7315,0.0615839
272,91,0,1516297609,-17.0697,-17.8275,-18.1857,-18.4634,0.7578,1.116,0,,0.3827,27.8616,0.0547042
274,91,0,1359374077,-16.8081,-17.5683,-17.9279,-18.2028,0.7602,1.1198,0,,0.483,32.2811,0.0664803
275,91,0,878328904.6,-15.9487,-16.7739,-17.1658,-17.4621,0.8252,1.2171,0,685873000,0.7306,33.1553,0.049242
278,91,0,149040448.8,-15.5246,-16.2445,-16.5844,-16.8083,0.7199,1.0598,0,145239000,0.4734,31.8291,0.0146884
279,91,0,491334514.3,-15.9883,-16.7427,-17.1012,-17.3539,0.7544,1.1129,0,160746000,0.7058,30.7009,0.0230816
281,91,0,1350044287,-16.8857,-17.6344,-17.9866,-18.256,0.7487,1.1009,0,,0.4326,30.9987,0.0627111
282,91,0,665721877.8,-15.9498,-16.7258,-17.0945,-17.3581,0.776,1.1447,0,369662000,0.6902,32.4663,0.0242084
289,91,0,715810451.7,-15.9833,-16.7638,-17.1339,-17.4015,0.7805,1.1506,0,205039000,0.7595,32.8356,0.0248564
304,91,0,334632418.1,-15.7766,-16.5227,-16.876,-17.1239,0.7461,1.0994,0,74677000,0.6495,36.0783,0.0218585
307,91,0,1281606141,-16.6485,-17.4223,-17.7913,-18.073,0.7738,1.1428,0,,0.5163,30.8085,0.0648749
308,91,0,223988780.6,-15.6965,-16.4131,-16.751,-16.9769,0.7166,1.0545,0,218077000,0.558,31.4797,0.0163036
313,91,0,1229539415,-16.9015,-17.6614,-18.021,-18.301,0.7599,1.1195,0,,0.5365,31.044,0.0600046
317,91,0,1115470918,-15.9791,-16.7958,-17.1818,-17.4741,0.8167,1.2027,0,,0.4217,28.997,0.0499184
320,91,0,289563035.1,-15.5254,-16.2663,-16.617,-16.8561,0.7409,1.0916,0,458841000,0.5909,30.9057,0.0173065
323,91,0,708650723.4,-15.7009,-16.5099,-16.8947,-17.1801,0.809,1.1938,0,186274000,0.6905,32.5684,0.0337425
328,91,0,1171966342,-16.7972,-17.5557,-17.9144,-18.1922,0.7585,1.1172,0,,0.4193,27.7992,0.0602173
334,91,0,564289932.1,-15.6656,-16.4369,-16.8037,-17.0637,0.7713,1.1381,0,172442000,0.6487,36.429,0.0213739
